Название;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Surveyor;Diesel;Russian Federation;273366880;8416956;UFZK;45x9 m;405 t;209 t;8 kn;10 августа, 0:46; ; ;На Ходу;Ни одного;(Ø5,5 kn);2,2 m;24,6° ;-;"45°00'40"" N 48°46'12"" E";In Service;-;Singapore;Bureau Veritas;1985;-;Steel;-;-;Detroit Diesel;12V-149;-;1 006 / 1 368;-;-;-;-;-;Fixed Pitch;-;Monahan Road, Cork, Ireland;-;Cork; ;+44 1463 713323;+44 1463 233035; ; ;209 t;405 t;121 t;-;-;-;45 m;41 m;9,2 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
T.G.Shevchenko;-;Russian Federation;273341690;8925036;UBDM2;130x16 m;19 августа, 10:42; ; ;На Якоре;Ни одного;(Ø0,2 kn);-;-;-;"44°58'54"" N 48°31'45"" E"
Tanais;Diesel;Russian Federation;273330220;9305336;UBLF2;139x16 m;5 723 t;7 078 t;10,5 kn;"<span title=""Сегодня, 12:08"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);4,6 m;72,7° ;-;"47°11'38"" N 39°40'48"" E";In Service;Taganrog;Navashino;Russian Maritime Register;2008;-;Steel;1901;Double Hull;Wartsila;6L20;-;2 300 / 3 128;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Proyezzhaya 4, 607100 Navashino;607100;Navashino; ;+7 83175 23456;+7 83175 23101;-; ;7 078 t;5 723 t;3 353 t;-;-;-;139,6 m;133,8 m;16,7 m;-;-;-;10 871 m²;-;-;-;-;-;-;-;-;-;26.70x14.40;-;-;-;-;-;-;-;-
Tanday;-;Russian Federation;273340480;9028926;UBXL8;32x6 m;06 июля, 14:01; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);1,9 m;-;-;"44°32'46"" N 50°16'04"" E"
Taradis;Diesel;Iran;422887000;9245304;EPAH3;98x16 m;2 842 t;3 850 t;11,5 kn;"<span title=""Сегодня, 12:06"">3мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,8 kn);2,9 m;127,5° ;256°;"42°59'35"" N 47°30'12"" E";In Service;Bandar Anzali;Oltenita;Germanischer Lloyd;2002;-;Steel;-;Double Bottom;-;6VD29/24AL-2;-;1 700 / 2 312;750 rpm;-;-;-;B-1-90;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 850 t;2 842 t;1 414 t;-;-;-;98 m;93,5 m;16 m;5,7 m;-;-;4 936 m²;-;-;-;-;-;-;-;-;-;25.50x13.20;-;-;-;-;-;-;-;-
Tarpan;Diesel;Russian Federation;273323610;9486996;UBSK9;42x13 m;712 t;574 t;11 kn;17 августа, 3:23; ; ;На Якоре;Ни одного;(Ø6,3 kn);3,5 m;345° ;-;"45°00'05"" N 48°32'46"" E";In Service;Aqtau;Gelibolu;Bureau Veritas;2009;-;Steel;-;-;Cummins;KTA-50-M2;-;3 642 / 4 953;1 800 rpm;-;-;-;B-1-200;Controllable Pitch;-;Kat 3, Ilayda Is Merkezi, Yayabeyi Sokak 12;34810;Istanbul; ;+90 216 680 1515;+90 216 680 4535;-; ;574 t;712 t;213 t;-;-;-;42 m;40,5 m;12,5 m;4,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tethys;-;Russian Federation;273355900;8210340;UBLG5;50x15 m;19 августа, 11:07; ; ;Под Парусом;Ни одного;(Ø0 kn);3,3 m;307,7° ;240°;"44°53'54"" N 49°03'22"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;ul. Serafimovicha 79;344018;Rostov; ;+7 863 244 2097;+7 863 240 8266; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tina;Diesel;Iran;422861000;9168166;EPAB9;138x16 m;4 955 t;5 885 t;9,5 kn;"<span title=""Сегодня, 1:29"">11ч назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,6 kn);4,7 m;279,4° ;127°;"36°51'12"" N 53°22'10"" E";In Service;Bandar Anzali;Nizhniy Novgorod;Russian Maritime Register;1997;-;Steel;19610/40;-;-;8NVDS48A-3U;-;1 426 / 1 938;428 rpm;-;-;-;B-1-132;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 885 t;4 955 t;1 781 t;-;-;20 t;139,9 m;134 m;16,7 m;6,7 m;-;-;-;-;-;-;-;-;-;-;-;-;18.70x11.80;-;-;-;-;-;-;-;-
Titan;Diesel;Russian Federation;273344330;9517070;UBDG4;141x17 m;4 378 t;5 526 t;10 kn;"<span title=""Сегодня, 11:46"">24мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);3,7 m;16° ;-;"59°49'08"" N 30°35'09"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;2009;-;Steel;19614/14;Double Hull;Wartsila;6L20;-;1 860 / 2 528;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 526 t;4 378 t;1 313 t;-;2 394 t;22 t;141 m;134,9 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 721;-;-;-;U-2-250;-;-;-
Tiyam;Diesel;Iran;422797000;8874495;9BSO;117x17 m;4 110 t;5 025 t;11 kn;"<span title=""Сегодня, 12:08"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);4,8 m;227° ;-;"46°19'30"" N 47°59'17"" E";In Service;Bandar Anzali;Nizhniy Novgorod;Russian Maritime Register;1994;-;Steel;19611/31;-;-;8NVDS48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 025 t;4 110 t;1 327 t;-;-;-;117,4 m;111,4 m;16,6 m;6,7 m;-;4 985 m²;5 087 m²;-;-;-;-;-;-;-;-;-;22.00x11.80;-;-;-;-;-;-;-;-
Tk Aktau;Diesel;Kazakhstan;436000062;9344459;-;149x17 m;7 224 t;12 365 t;10 kn;Вчера, 6:53; ; ;На Ходу;IMO Hazard B;(Ø8,9 kn);4,1 m;20° ;-;"43°02'48"" N 47°33'39"" E";In Service;Aqtau;Vyborg;Russian Maritime Register;2006;-;Steel;-;Double Hull;Wartsila;8L26A;-;2 210 / 3 005;1 000 rpm;-;-;-;-;Fixed Pitch;-;Primorskoye Shosse 2b, 188800 Vyborg;188800;Vyborg; ;+7 813 782 8686;+7 813 782 8952; ; ;12 365 t;7 224 t;3 517 t;-;3 410 t;24,3 t;149,4 m;143,2 m;17,3 m;10,1 m;28,5 m;-;-;-;-;-;-;-;-;-;-;-;-;14 280;-;-;-;U-12-125;-;-;-
Tobol;-;Kazakhstan;436000065;9384631;-;24x7 m;11 августа, 10:23; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);2,6 m;-;339°;"44°34'28"" N 50°16'43"" E"
Topaz Johor;"
              Не Судно
            ";Russian Federation;273383160;9564451;UBRO4;60x15 m;"<span title=""Сегодня, 12:09"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,8 m;-;134°;"46°20'05"" N 47°59'24"" E"
Topaz Jurong;-;Russian Federation;273384160;9563811;UBRO5;60x15 m;17 августа, 15:30; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);3,7 m;-;134°;"46°20'06"" N 47°59'25"" E"
-Topaz Zenit;Diesel;Russian Federation;273380060;9624990;-UBQO7;27x8 m;134 t;26 t;28 kn;"<span title=""Сегодня, 12:09"">только что</span>"; ; ;На Ходу;Ни одного;(Ø9,7 kn);1,4 m;250,8° ;320°;"46°24'09"" N 48°01'08"" E";In Service;Dubai;Fujairah;Det Norske Veritas;2011;-;Steel;-;-;Caterpillar;-;-;2 386 / 3 244;2 100 rpm;-;-;-;-;Waterjets;-;PO Box 2825, Dubai;-;Dubai; ;+971 9 222 8424;+971 9 222 8746; ; ;26 t;134 t;41 t;959 t;-;-;26 m;24,2 m;7,5 m;3,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Topaz Zephyr;-;Russian Federation;273386660;9628477;UBTO3;27x8 m;"<span title=""Сегодня, 12:09"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0 kn);1,4 m;-;335°;"46°24'09"" N 48°01'07"" E"
Torik;Diesel;Russian Federation;273155400;9082142;UGUR;140x16 m;4 991 t;5 828 t;10 kn;"<span title=""Сегодня, 11:04"">1ч 1мин назад</span>"; ; ;На Якоре;Ни одного;(Ø1,9 kn);4,9 m;6,8° ;-;"46°19'20"" N 47°59'07"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;1993;-;Steel;19610/20;-;-;8NVD48A-3U;-;1 940 / 2 638;428 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649; ; ;5 828 t;4 991 t;1 781 t;-;-;-;139,8 m;134 m;16,6 m;6,7 m;-;6 785 m²;6 843 m²;-;-;-;-;-;-;-;-;-;18.70x11.80;-;-;-;-;-;-;-;-
Trader;Diesel;Russian Federation;273385110;8872514;UBUN9;90x12 m;1 910 t;2 721 t;10 kn;"<span title=""Сегодня, 12:09"">только что</span>"; ; ;На Ходу;Ни одного;(Ø0,7 kn);2,8 m;-;-;"46°19'40"" N 47°58'52"" E";In Service;Aqtau;Apatin;Russian Maritime Register;1986;-;Steel;1088;-;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;Monahan Road, Cork, Ireland;-;Cork; ;+44 1463 713323;+44 1463 233035; ; ;2 721 t;1 910 t;593 t;-;-;-;86 m;84,8 m;12,2 m;3,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;2 588;-;-;-;-;-;-;-
Tur;Diesel;Russian Federation;273346530;9487005;UHLQ;42x12 m;712 t;13 kn;10 августа, 9:26; ; ;Ограниченная Маневренность;Ни одного;(Ø1,5 kn);2,8 m;230° ;-;"46°19'20"" N 47°58'38"" E";In Service;Novorossiysk;Gelibolu;Bureau Veritas;2009;-;Steel;-;-;Cummins;KTA-50-M2;-;3 642 / 4 953;1 800 rpm;-;-;-;-;Fixed Pitch;-;Kat 3, Ilayda Is Merkezi, Yayabeyi Sokak 12;34810;Istanbul; ;+90 216 680 1515;+90 216 680 4535;-; ;-;712 t;213 t;-;-;-;42 m;39 m;12,5 m;4,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Turkestan;Diesel;Kazakhstan;436000242;9396646;UNDV;109x17 m;4 182 t;5 471 t;10,5 kn;"<span title=""Сегодня, 2:50"">9ч назад</span>"; ; ;Пришвартовано;Ни одного;(Ø5,9 kn);4,8 m;212,4° ;-;"46°40'21"" N 47°52'32"" E";In Service;Panama City;Petrozavodsk;Russian Maritime Register;2007;-;Steel;-;-;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;-;Directional;-;ul Rigachina 25, 185005 Petrozavodsk;185005;Petrozavodsk; ;+7 814 271 7401;+7 814 271 1255;-; ;5 471 t;4 182 t;2 373 t;-;-;-;108,3 m;102,2 m;16,7 m;5,5 m;-;-;7 831 m²;-;-;-;-;-;C-1-16;Cranes;-;-;27.30x12.70;-;-;-;-;-;-;-;-
Turkmenistan;Diesel;434111000;8891924;EZAT;115x14 m;3 086 t;3 152 t;"<span title=""Сегодня, 1:15"">11ч назад</span>"; ; ;На Ходу;Ни одного;(Ø6,1 kn);-;171° ;171°;"37°20'01"" N 53°17'14"" E";In Service;Turkmenbashy;-;Komarno;Russian Maritime Register;1992;-;Steel;2342;-;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;8, ul Shagadama, 745000 Turkmenbashy;745000;Turkmenbashy; ;+993 243 21022;+993 243 20790; ; ;3 152 t;3 086 t;925 t;-;-;-;115,6 m;111,2 m;13,6 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brin Navolok;Diesel;Russian Federation;273346620;8867246;UBZE8;89x12 m;1 861 t;2 805 t;12 kn;10 июня, 13:02; ; ;На Якоре;Ни одного;(Ø8 kn);4,1 m;151,1° ;158°;"38°50'28"" N 26°55'49"" E";In Service;Arkhangelsk;Macvanska Mitrovica;Russian Maritime Register;1986;-;Steel;-;-;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;ul Pomorskaya 32, Arkhangelsk, 163000, Russia;163000;Arkhangelsk; ;+7 818 265 0900;+7 818 265 6111; ; ;2 805 t;1 861 t;560 t;-;-;-;88,7 m;84,8 m;12,3 m;5,8 m;-;-;2 196 m²;-;-;-;-;-;-;-;-;-;40.90x9.00;-;-;-;-;-;-;-;-
Black Fox;-;Sierra Leone;667133000;7042502;9LD2032;57x10 m;15 сентября 2011, 0:37; ; ;Под Парусом;Ни одного;(Ø-1 kn);3,3 m;-;-;"40°58'47"" N 28°56'52"" E"
Ouglich;Diesel;Russian Federation;273431390;9340879;UHHR;141x16 m;4 378 t;5 600 t;10 kn;"<span title=""Сегодня, 12:07"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø5,7 kn);3,7 m;71,7° ;234°;"45°31'07"" N 36°49'54"" E";In Service;St Petersburg;Nizhniy Novgorod;Russian Maritime Register;2005;-;Steel;19614/8;Double Hull;Wartsila;6L20;-;1 860 / 2 528;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 600 t;4 378 t;1 313 t;-;2 320 t;22 t;141 m;139 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 721;-;-;-;-;-;-;-
Ulus Breeze;Diesel;Russian Federation;273310040;9327188;UGTC;89x15 m;2 604 t;3 732 t;10,5 kn;"<span title=""Сегодня, 12:05"">6мин назад</span>"; ; ;На Якоре;Ни одного;(Ø4 kn);4,5 m;124° ;-;"41°18'28"" N 19°27'00"" E";In Service;Taganrog;-;Russian Maritime Register;2006;-;Steel;-;-;MAN B&W;6L21/31;-;1 096 / 1 490;1 000 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 732 t;2 604 t;1 413 t;-;-;-;89,7 m;84,4 m;15,8 m;5,8 m;-;-;4 877 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ulus Prime;Diesel;Russian Federation;273438680;9297113;UHPW;90x16 m;2 614 t;3 756 t;10,5 kn;"<span title=""Сегодня, 12:08"">2мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);4,5 m;-;-;"46°22'33"" N 48°01'13"" E";In Service;Taganrog;-;Russian Maritime Register;2004;-;Steel;-;-;MAN B&W;6L21/31;-;1 290 / 1 754;1 000 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 756 t;2 614 t;1 421 t;-;-;-;89,7 m;84,4 m;15,8 m;5,8 m;-;-;-;-;-;-;-;-;C-1-14;Cranes;-;-;-;-;-;-;-;-;-;-;-
Ulus Sky;Diesel;Russian Federation;273319930;9327176;UBSH;89x14 m;2 607 t;3 743 t;10,5 kn;"<span title=""Сегодня, 12:10"">только что</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);4,5 m;-;-;"47°13'10"" N 39°45'26"" E";In Service;Taganrog;-;Russian Maritime Register;2005;-;Steel;-;-;MAN B&W;6L21/31;-;1 096 / 1 490;1 000 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 743 t;2 607 t;1 413 t;-;-;-;89,7 m;84,4 m;15,8 m;5,8 m;-;-;4 877 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ulus Star;Diesel;Russian Federation;273439680;9297125;UHPB;2 614 t;3 737 t;10,5 kn;"<span title=""Сегодня, 12:06"">4мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);4,5 m;211° ;149°;"41°18'23"" N 36°20'21"" E";In Service;Taganrog;-;Russian Maritime Register;2005;-;Steel;-;-;MAN B&W;6L21/31;-;1 096 / 1 490;1 000 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 737 t;2 614 t;1 421 t;-;-;-;89,7 m;84,4 m;15,8 m;5,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ulus Stream;Diesel;Russian Federation;273313780;9361988;UBPE3;90x16 m;2 604 t;3 675 t;10,5 kn;Вчера, 0:43; ; ;На Ходу;Ни одного;(Ø9,2 kn);4,5 m;284° ;-;"52°05'46"" N 3°41'41"" E";In Service;Taganrog;-;Russian Maritime Register;2006;-;Steel;-;-;MAN B&W;6L28/32A;-;1 470 / 1 999;775 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 675 t;2 604 t;1 413 t;-;-;-;89,6 m;84,4 m;15,9 m;5,8 m;-;-;4 740 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MB Ural;Diesel;Kazakhstan;436000096;9482639;-;162 t;95 t;10 kn;11 марта, 9:16; ; ;На Ходу;Ни одного;(Ø5,9 kn);2,5 m;210,5° ;-;"44°34'27"" N 50°16'42"" E";In Service;Aqtau;Haiphong;Russian Maritime Register;2008;-;Steel;7705;-;-;V180TIH;-;882 / 1 200;1 800 rpm;-;-;-;-;Fixed Pitch;-;157 Ha ly Street, Hong Bang District;130000;Haiphong; ;+84 31 384 2775;+84 31 384 2848; ; ;95 t;162 t;48 t;-;-;-;24,5 m;23,5 m;8,2 m;3,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Phoenix;Diesel;Kazakhstan;436000192;9614555;UNBX;30x11 m;413 t;17 августа, 17:28; ; ;Неизвестно;Ни одного;(Ø0,3 kn);2,9 m;200,7° ;210°;"43°09'03"" N 51°27'33"" E";Under Construction;Aqtau;Nanjing, Jiangsu;Russian Maritime Register;2011;-;Steel;OMS801;-;-;Wartsila;4L20;-;1 440 / 1 958;1 000 rpm;-;-;-;-;-;-;Rooms 1113-1117, 118 Olympic Jie;210019;Nanjing, Jiangsu; ;+86 25 5187 3912;+86 25 5187 3919; ; ;-;413 t;123 t;1 926 t;-;-;30,7 m;-;10,6 m;4,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fili;Diesel;Russian Federation;273435060;8950902;UBSD;86x12 m;1 770 t;1 957 t;10 kn;"<span title=""Сегодня, 5:20"">7ч назад</span>"; ; ;На Ходу;Ни одного;(Ø4,9 kn);3,4 m;162,1° ;165°;"43°13'24"" N 51°11'02"" E";In Service;Makhachkala;Macvanska Mitrovica;Russian Maritime Register;1986;-;Steel;-;-;Alpha;6T23LU;-;956 / 1 300;-;-;-;-;-;Fixed Pitch;-;ul Admiralteyskaya 43, Astrakhan, 414000, Russia;414000;Astrakhan; ;+7 851 244 5136;+7 851 244 5136; ; ;1 957 t;1 770 t;587 t;-;-;-;86,4 m;83,2 m;12,2 m;3,5 m;-;-;-;2 161 m²;-;-;-;-;-;-;-;-;40.70x9.30;-;-;-;-;-;-;-;-
Flestina 2;Diesel;Russian Federation;273426960;8521892;UBDX;82x12 m;1 568 t;2 121 t;11 kn;"<span title=""Сегодня, 12:07"">4мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0 kn);3,9 m;255,7° ;-;"46°19'28"" N 47°59'11"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1985;-;Steel;319/3470;-;-;8NVDS36/24A-1;-;884 / 1 202;500 rpm;-;-;-;-;Fixed Pitch;-;ul Naberezhnaya 11/10, Privolzhskiy Zaton;414024;Astrakhan; ;+7 851 222 0976;+7 851 239 4286; ; ;2 121 t;1 568 t;585 t;-;-;-;82 m;78,1 m;11,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Flestina-7;Diesel;Russian Federation;273434690;8883214;UFAM;83x12 m;1 589 t;2 235 t;10,5 kn;20 августа, 17:18; ; ;На Ходу;Ни одного;(Ø4,5 kn);3,9 m;281,9° ;290°;"43°44'33"" N 49°57'30"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1979;-;Steel;-;-;-;8VDS36/24A-1;-;884 / 1 202;-;-;-;-;-;Fixed Pitch;-;ul Naberezhnaya 11/10, Privolzhskiy Zaton;414024;Astrakhan; ;+7 851 222 0976;+7 851 239 4286; ; ;2 235 t;1 589 t;581 t;-;-;-;83,2 m;78,1 m;11,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Phobus;Diesel;Russian Federation;273311400;8888094;UGOR;108x15 m;2 442 t;3 154 t;10,1 kn;"<span title=""Сегодня, 12:11"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,8 kn);3,1 m;156,1° ;155°;"43°27'31"" N 50°53'52"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1981;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 154 t;2 442 t;952 t;-;-;-;108,4 m;102 m;15 m;-;-;-;4 340 m²;-;-;-;-;-;C-2-?;Cranes;-;-;15.40x11.00;-;-;-;-;-;-;-;-
Forward;Diesel;Russian Federation;273396670;8916853;UBWO4;39x10 m;417 t;35,5 kn;Вчера, 5:39; ; ;На Ходу;Ни одного;(Ø0 kn);1,7 m;350,6° ;-;"45°01'58"" N 48°18'05"" E";In Service;Klintebjerg;Omastrand;Det Norske Veritas;1990;-;Aluminium Alloy;1600;-;-;16V396TE84;-;3 600 / 4 894;2 000 rpm;-;-;-;B-1-100;Waterjets;-;Norgekaj 62, 5000 Odense, Denmark;5000;Odense; ;+45 64 87 27 26;+45 64 87 27 80; ; ;-;417 t;132 t;-;-;-;38,8 m;36 m;9,4 m;3,9 m;-;-;-;-;-;-;-;-;A-1-8;A Frame;-;-;-;-;-;-;-;-;-;-;-
Fair Wind;Diesel;Russian Federation;273314540;9361976;UGOM;90x16 m;2 604 t;3 689 t;11 kn;20 августа, 19:13; ; ;На Ходу;Ни одного;(Ø5,5 kn);4,5 m;313° ;315°;"56°24'51"" N 43°50'10"" E";In Service;Taganrog;-;Russian Maritime Register;2006;-;Steel;-;-;MAN B&W;6L28/32A;-;1 470 / 1 999;775 rpm;-;-;-;-;Controllable Pitch;-;Tersaneler Cad G 50, Sok No 9;34947;Istanbul; ;+90 216 493 2453;+90 216 493 2452;-; ;3 689 t;2 604 t;1 413 t;-;-;-;89,6 m;84,4 m;16 m;5,8 m;-;-;4 740 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cloe;Diesel;Russian Federation;273352720;9593921;UBFH4;140x16 m;5 128 t;7 101 t;10 kn;"<span title=""Сегодня, 7:12"">4ч 4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø7,5 kn);4,5 m;262,7° ;259°;"47°35'51"" N 41°37'20"" E";In Service;Taganrog;Yangzhou, Jiangsu;Russian Maritime Register;2011;-;Steel;HCR0806;Double Hull;Chinese Standard;G6300ZC;-;2 206 / 3 000;750 rpm;-;-;-;-;Fixed Pitch;-;Wangjicun, Hangji Zhen, Haijiang Qu;225111;Yangzhou, Jiangsu; ;+86 514 8727 9055;+86 514 8749 9478; ; ;7 101 t;5 128 t;1 757 t;6 251 t;2 749 t;-;139,9 m;136,6 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8 573;-;-;-;-;-;-;-
Tsarevskiy;Diesel;Russian Federation;273418310;8203218;UEPW;54x12 m;943 t;1 015 t;12,7 kn;"<span title=""Сегодня, 3:32"">9ч назад</span>"; ; ;Пришвартовано;Ни одного;(Ø5,3 kn);4,5 m;141,5° ;142°;"45°41'10"" N 47°41'39"" E";In Service;Kaliningrad;Bordeaux;Russian Maritime Register;1983;-;Steel;1199;-;Wichmann;7AXA;-;2 942 / 4 000;300 rpm;-;-;-;-;Controllable Pitch;-;ul Kiyevskaya 23, Kaliningrad, 236039, Russia;236039;Kaliningrad; ;+7 401 268 0022;+7 401 268 1999; ; ;1 015 t;943 t;282 t;-;-;-;53,6 m;47,9 m;11,8 m;5,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Black Pearl;"
              Не Судно
            ";Russian Federation;273395680;8844268;UBZO9;31x9 m;20 августа, 12:16; ; ;На Ходу;Ни одного;(Ø8,6 kn);1,4 m;66° ;-;"46°17'16"" N 47°57'48"" E"
Chingiz Mustafayev;Diesel;Russian Federation;273318520;9354636;UHIT;139x15 m;4 534 t;6 526 t;10 kn;Вчера, 12:04; ; ;На Ходу;Ни одного;(Ø0 kn);4,3 m;145,2° ;-;"44°51'41"" N 36°40'47"" E";In Service;Taganrog;Istanbul;Russian Maritime Register;2005;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Tuzla Tersaneler Caddesi, 34944 Tuzla;34944;Istanbul; ;+90 216 446 7427;+90 216 395 3918;-; ;6 526 t;4 534 t;1 904 t;-;-;-;138,7 m;132,8 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
